Model_Type_Dataset,Type,dataset,model,AUC,ACC,F1,Precision,Recall
0,Origin,1101_1130,model3.1,0.7609000000000001,0.7109319999999999,0.704988,0.7247199999999999,0.699052
1,Origin,1101_1130,BiLSTM,0.6458295238095237,0.6350771428571429,0.586052857142857,0.6415552380952381,0.5704180952380954
2,Origin,1101_1130,DNN,0.6963457142857143,0.7120533333333334,0.6321833333333332,0.7964790476190478,0.5298119047619048
3,Origin,1115_1215,model3.1,0.8018560000000001,0.720932,0.7173759999999999,0.765096,0.697704
4,Origin,1115_1215,BiLSTM,0.6708133333333334,0.652269523809524,0.6042838095238096,0.693850476190476,0.561537619047619
5,Origin,1115_1215,DNN,0.6617276190476191,0.6643580952380951,0.5804747619047619,0.7571738095238094,0.48621238095238084
6,Origin,1201_1231,model3.1,0.75978,0.70039,0.68097,0.7183400000000002,0.6823849999999999
7,Origin,1201_1231,BiLSTM,0.6071972972972974,0.617482162162162,0.5342427027027027,0.6148324324324325,0.5200778378378377
8,Origin,1201_1231,DNN,0.5878545945945945,0.6295962162162162,0.44589837837837837,0.6976994594594595,0.34044270270270266
9,Origin,1215_0115,model3.1,0.75703,0.6968749999999999,0.6505650000000001,0.83208,0.5648
10,Origin,1215_0115,BiLSTM,0.5928805405405405,0.6118232432432432,0.5016621621621622,0.5559470270270269,0.5230821621621621
11,Origin,1215_0115,DNN,0.5423313513513512,0.6177421621621623,0.30766702702702703,0.5894124324324326,0.22349729729729728
12,Origin,0101_0131,model3.1,0.73858,0.674605,0.639585,0.80915,0.555385
13,Origin,0101_0131,BiLSTM,0.6245708571428572,0.6363822857142857,0.5205765714285715,0.6034337142857142,0.49997828571428576
14,Origin,0101_0131,DNN,0.5640245714285715,0.6400834285714285,0.3232925714285714,0.7537531428571428,0.21329428571428566
15,Origin,0115_0215,model3.1,0.811985,0.73554,0.7133,0.7867599999999999,0.6828399999999999
16,Origin,0115_0215,BiLSTM,0.5666348387096773,0.5813503225806451,0.5023767741935485,0.532921935483871,0.5614735483870967
17,Origin,0115_0215,DNN,0.5185096774193549,0.5895148387096774,0.2939825806451613,0.5013954838709678,0.23519741935483868
18,Origin,0201_0230,model3.1,0.8014999999999999,0.7073066666666665,0.73514,0.85762,0.6579266666666667
19,Origin,0201_0230,BiLSTM,0.62165,0.6150590909090908,0.5738718181818182,0.5853781818181818,0.5994481818181818
20,Origin,0201_0230,DNN,0.6051627272727274,0.6539699999999999,0.4264763636363636,0.8701300000000002,0.2955481818181818
21,Abb_QOE,1101_1130,model3.1,0.7545119999999998,0.7037479999999999,0.6866840000000001,0.7385039999999999,0.6639320000000002
22,Abb_QOE,1101_1130,BiLSTM,0.7129666666666666,0.6864228571428572,0.6323042857142857,0.722567142857143,0.5863938095238096
23,Abb_QOE,1115_1215,model3.1,0.8025039999999999,0.722804,0.71218,0.791396,0.674972
24,Abb_QOE,1115_1215,BiLSTM,0.7181338095238096,0.6883557142857143,0.6407561904761906,0.7449699999999999,0.5843509523809524
25,Abb_QOE,1201_1231,model3.1,0.767,0.69962,0.678825,0.73262,0.6798550000000001
26,Abb_QOE,1201_1231,BiLSTM,0.6250524324324325,0.6248324324324324,0.5513832432432432,0.6168589189189191,0.5460281081081082
27,Abb_QOE,1215_0115,model3.1,0.70425,0.6671849999999999,0.61396,0.78832,0.53615
28,Abb_QOE,1215_0115,BiLSTM,0.6182994594594595,0.6196372972972973,0.5264432432432434,0.5740794594594594,0.5534681081081081
29,Abb_QOE,0101_0131,model3.1,0.7504349999999999,0.68828,0.66413,0.8067949999999999,0.592725
30,Abb_QOE,0101_0131,BiLSTM,0.6934731428571429,0.682993142857143,0.5683125714285715,0.6819651428571429,0.5233040000000001
31,Abb_QOE,0115_0215,model3.1,0.8118500000000001,0.7375,0.70832,0.8005049999999999,0.649335
32,Abb_QOE,0115_0215,BiLSTM,0.6743006451612903,0.6590245161290322,0.5585761290322581,0.6306354838709677,0.5466845161290323
33,Abb_QOE,0201_0230,model3.1,0.8004266666666666,0.7229266666666666,0.7607266666666667,0.8314600000000001,0.7179333333333333
34,Abb_QOE,0201_0230,BiLSTM,0.7418509090909092,0.6949563636363637,0.6470127272727273,0.6958727272727272,0.64189
35,Abb_FUFEI,1101_1130,model3.1,0.707272,0.6740600000000001,0.643412,0.707832,0.629436
36,Abb_FUFEI,1101_1130,BiLSTM,0.72492,0.6943414285714284,0.6496180952380952,0.7217466666666668,0.6148380952380952
37,Abb_FUFEI,1115_1215,model3.1,0.805928,0.7287480000000001,0.713992,0.79958,0.677516
38,Abb_FUFEI,1115_1215,BiLSTM,0.6975928571428571,0.6719838095238095,0.632922857142857,0.7054514285714285,0.5944680952380953
39,Abb_FUFEI,1201_1231,model3.1,0.7637349999999999,0.7046849999999999,0.6904999999999999,0.72065,0.70645
40,Abb_FUFEI,1201_1231,BiLSTM,0.6412027027027027,0.6357259459459459,0.5616016216216217,0.6300086486486487,0.5438113513513514
41,Abb_FUFEI,1215_0115,BiLSTM,0.6181935135135135,0.6197221621621622,0.5283945945945947,0.5681508108108109,0.5592054054054054
42,Abb_FUFEI,0101_0131,model3.1,0.7742350000000001,0.711335,0.7057100000000001,0.7913300000000001,0.6592450000000001
43,Abb_FUFEI,0101_0131,BiLSTM,0.6736794285714287,0.6657594285714288,0.5639594285714286,0.6374365714285714,0.5393982857142857
44,Abb_FUFEI,0115_0215,model3.1,0.809605,0.7386750000000001,0.73446,0.75696,0.7297750000000001
45,Abb_FUFEI,0115_0215,BiLSTM,0.5855090322580645,0.6086677419354839,0.4965,0.5594696774193549,0.5036083870967742
46,Abb_FUFEI,0201_0230,model3.1,0.78646,0.69688,0.7238666666666667,0.8448466666666666,0.6541533333333333
47,Abb_FUFEI,0201_0230,BiLSTM,0.6702027272727273,0.6507845454545456,0.5891363636363637,0.6508609090909092,0.5831472727272727
48,Abb_QOE&FUFEI,1101_1130,model3.1,0.7497719999999999,0.69156,0.6949639999999999,0.6937679999999999,0.716496
49,Abb_QOE&FUFEI,1101_1130,DNN,0.625515238095238,0.6343723809523809,0.5732871428571429,0.6478904761904761,0.5372709523809523
50,Abb_QOE&FUFEI,1115_1215,model3.1,0.814944,0.733756,0.720592,0.8081040000000002,0.674076
51,Abb_QOE&FUFEI,1115_1215,DNN,0.6176133333333332,0.6253380952380952,0.5277766666666668,0.6991671428571429,0.44733999999999996
52,Abb_QOE&FUFEI,1201_1231,model3.1,0.7651299999999999,0.69884,0.6891550000000001,0.7058949999999999,0.7154450000000001
53,Abb_QOE&FUFEI,1201_1231,DNN,0.5802632432432432,0.6139805405405406,0.44647729729729724,0.646278918918919,0.35961189189189185
54,Abb_QOE&FUFEI,1215_0115,model3.1,0.7170449999999999,0.66523,0.6074149999999999,0.80573,0.51983
55,Abb_QOE&FUFEI,1215_0115,DNN,0.5297610810810809,0.592527027027027,0.28427675675675673,0.4763054054054054,0.21801729729729727
56,Abb_QOE&FUFEI,0101_0131,model3.1,0.7454600000000001,0.68712,0.68189,0.77742,0.6354399999999999
57,Abb_QOE&FUFEI,0115_0215,model3.1,0.8128499999999999,0.7421949999999999,0.7297499999999999,0.7795349999999999,0.7018850000000001
58,Abb_QOE&FUFEI,0201_0230,model3.1,0.7950733333333332,0.6890533333333334,0.7053399999999999,0.8713666666666666,0.61392
59,Abb_QOE&FUFEI,0201_0230,DNN,0.5332436363636364,0.5698181818181818,0.4557181818181818,0.5314699999999999,0.4585718181818182
